Date,Category,Sales,Quantity,Profit,Region,Month,Profit Margin %
2023-01-01,Electronics,1149.014246,11,383.6642446,North,January,0.334
2023-01-01,Clothing,958.5207096,7,224.054049,East,January,0.234
2023-01-01,Home Goods,1473.763845,2,466.5930904,South,January,0.317
2023-01-01,Sports,1230.230419,6,123.3104603,West,January,0.100
2023-01-01,,828.5859503,12,88.59135544,East,January,0.107
2023-02-01,Electronics,722.7751487,10,82.39614937,West,February,0.114
2023-02-01,Clothing,788.9968595,15,225.2710717,West,February,0.286
2023-02-01,Home Goods,358.1138032,3,128.1983392,East,February,0.358
2023-02-01,Sports,819.923845,2,250.2980767,East,February,0.305
2023-02-01,Books,1284.231946,7,363.4363532,West,February,0.283
2023-03-01,,1246.763474,2,283.6969918,South,March,0.228
2023-03-01,Clothing,633.746905,10,171.3081882,North,March,0.270
2023-03-01,Home Goods,1221.539974,8,331.2000327,West,March,0.271
2023-03-01,Sports,0,,371.5265713,,March,
2023-03-01,Books,1232.110125,13,175.3012618,East,March,0.142
2023-04-01,,839,13,102.6102506,East,April,0.122
2023-04-01,Clothing,437.2969683,8,44.45413836,East,April,0.102
2023-04-01,Home Goods,589.9653583,19,184.1029397,East,April,0.312
2023-04-01,,1142.812776,10,237.1790419,North,April,0.208
2023-04-01,Books,1391.098381,7,493.8560247,West,April,0.355
2023-05-01,Electronics,856,5,273.0418628,West,May,0.319
2023-05-01,Clothing,944.302307,3,228.2043237,North,May,0.242
2023-05-01,Home Goods,719.8711477,14,178.6278756,North,May,0.248
2023-05-01,Sports,1235.262456,15,281.9638562,South,May,0.228
2023-05-01,Books,585.7848927,7,142.1178978,North,May,0.243
2023-06-01,Electronics,916,4,340.9092196,East,June,0.372
2023-06-01,Clothing,1261.811529,4,483.0922047,East,June,0.383
2023-06-01,Home Goods,1686.167795,19,250.1706222,,June,0.148
2023-06-01,Sports,559.9096344,6,132.6763948,West,June,0.237
2023-06-01,Books,1267.788841,12,285.1928834,South,June,0.225
2023-07-01,Electronics,1411.55864,7,525.1683205,North,July,0.372
2023-07-01,Clothing,1052.665988,13,377.0851418,East,July,0.358
2023-07-01,Home Goods,1038.103672,5,319.4564837,South,July,0.308
2023-07-01,Sports,625,,108.3024459,East,July,0.173
2023-07-01,Books,1064.481649,9,235.4110229,South,July,0.221
2023-08-01,Electronics,393.30552,17,69.29045218,West,August,0.176
2023-08-01,Clothing,994.4347586,17,143.622313,West,August,0.144
2023-08-01,Home Goods,497.9486134,17,89.64783218,South,August,0.180
2023-08-01,Sports,802.2453093,5,163.274068,North,August,0.204
2023-08-01,Books,1001.181191,19,304.5709676,North,August,0.304
2023-09-01,Electronics,1101.946289,0,136.9234358,West,September,0.124
2023-09-01,Clothing,997.785955,17,317.759809,West,September,0.318
2023-09-01,,1106.847949,11,381.7845783,West,September,0.345
2023-09-01,Sports,993.4357377,,144.2620321,East,September,0.145
2023-09-01,Books,1511.981486,19,473.7716267,East,September,0.313
2023-10-01,Electronics,,19,258.2206611,East,October,
2023-10-01,Clothing,1160.90081,7,442.3252617,North,October,0.381
2023-10-01,Home Goods,725.5927206,11,146.8018505,North,October,0.202
